demand_id,Destination_State,Destination_City,opportunity_name,Origin_Lat,Origin_Lon,Destination_Lat,Destination_Lon,distance_km,distance_mean,distance_variance
355030801000001,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.567835631387613,-46.57084079827786,-23.57069,-46.57608,0.6212960739245814,0.9856452505974579,0.17073345147780522
355030801000002,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.566561876453342,-46.56827055227953,-23.57069,-46.57608,0.9190429305907741,0.9856452505974579,0.17073345147780522
355030801000003,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.568593664974102,-46.56757132271892,-23.57069,-46.57608,0.8991210316415233,0.9856452505974579,0.17073345147780522
355030801000004,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.57025455771349,-46.568903798408726,-23.57069,-46.57608,0.7341799375932775,0.9856452505974579,0.17073345147780522
355030801000005,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.571520589106687,-46.570584598998295,-23.57069,-46.57608,0.5684961960102733,0.9856452505974579,0.17073345147780522
355030801000007,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.570764836635806,-46.574306519624784,-23.57069,-46.57608,0.18123792129282965,0.9856452505974579,0.17073345147780522
355030801000009,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.567782298785183,-46.575375999898434,-23.57069,-46.57608,0.3299561290936215,0.9856452505974579,0.17073345147780522
355030801000010,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.566541527807388,-46.57343223547994,-23.57069,-46.57608,0.533067331286988,0.9856452505974579,0.17073345147780522
355030801000011,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.565779073567015,-46.57145064913669,-23.57069,-46.57608,0.7205382119791052,0.9856452505974579,0.17073345147780522
355030801000012,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.56410266626782,-46.57075566030932,-23.57069,-46.57608,0.9097869434779987,0.9856452505974579,0.17073345147780522
355030801000013,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.565247139833964,-46.56684114603778,-23.57069,-46.57608,1.1193607258648048,0.9856452505974579,0.17073345147780522
355030801000015,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.568051355746846,-46.56511687713726,-23.57426,-46.55868,0.951116527305929,0.672857363694424,0.05374882973697381
355030801000016,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.570370771600814,-46.565485777525694,-23.57426,-46.55868,0.8174603415527248,0.672857363694424,0.05374882973697381
355030801000017,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.569343719375908,-46.56670658236513,-23.57069,-46.57608,0.9684508732312047,0.9856452505974579,0.17073345147780522
355030801000018,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.571955719266867,-46.56494360554145,-23.57426,-46.55868,0.688464970185477,0.672857363694424,0.05374882973697381
355030801000019,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.572929190530008,-46.56566238961328,-23.57426,-46.55868,0.7278708728252269,0.672857363694424,0.05374882973697381
355030801000020,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.574000991585496,-46.56799849716196,-23.57069,-46.57608,0.9028268044166293,0.9856452505974579,0.17073345147780522
355030801000021,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.574172443737023,-46.572614480468374,-23.57069,-46.57608,0.5233679728622779,0.9856452505974579,0.17073345147780522
355030801000022,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.573343510462994,-46.57488202955945,-23.57069,-46.57608,0.31831221596344283,0.9856452505974579,0.17073345147780522
355030801000023,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.57179270895372,-46.57730716351121,-23.57069,-46.57608,0.17495491113129416,0.9856452505974579,0.17073345147780522
355030801000024,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.56896657933651,-46.576851100749536,-23.57069,-46.57608,0.2064679550704858,0.9856452505974579,0.17073345147780522
355030801000025,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.56765331264465,-46.57777962700551,-23.57069,-46.57608,0.37843985461035906,0.9856452505974579,0.17073345147780522
355030801000028,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.56342602950954,-46.57660009820097,-23.57069,-46.57608,0.8062495936593994,0.9856452505974579,0.17073345147780522
355030801000030,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.56324427834451,-46.57342325689657,-23.57069,-46.57608,0.8680872480136975,0.9856452505974579,0.17073345147780522
355030801000031,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.561568395107013,-46.57201459034941,-23.57069,-46.57608,1.092168915831533,0.9856452505974579,0.17073345147780522
355030801000032,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.562748836780646,-46.56930885084158,-23.57069,-46.57608,1.1186442881386438,0.9856452505974579,0.17073345147780522
355030801000033,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.563612211438322,-46.56711641387474,-23.57069,-46.57608,1.2049265834722902,0.9856452505974579,0.17073345147780522
355030801000034,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.563988720163813,-46.56545869285798,-23.57069,-46.57608,1.3139938352788214,0.9856452505974579,0.17073345147780522
355030801000035,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.565565181512934,-46.563594932211764,-23.57426,-46.55868,1.0858468384783726,0.672857363694424,0.05374882973697381
355030801000036,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.5682312596746,-46.56255091802186,-23.57426,-46.55868,0.7758698077781443,0.672857363694424,0.05374882973697381
355030801000038,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.56960687630112,-46.56036075629636,-23.57426,-46.55868,0.5431560820882055,0.672857363694424,0.05374882973697381
355030801000039,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.573961036723905,-46.56068167643809,-23.57426,-46.55868,0.20700402921313393,0.672857363694424,0.05374882973697381
355030801000040,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.57520073657542,-46.56268066857183,-23.57426,-46.55868,0.4214821000562351,0.672857363694424,0.05374882973697381
355030801000042,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.575061802994377,-46.565900030123395,-23.57426,-46.55868,0.7423754904476536,0.672857363694424,0.05374882973697381
355030801000043,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.575725646948392,-46.56790133197164,-23.57426,-46.55868,0.9552354490669185,0.672857363694424,0.05374882973697381
355030801000044,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.575816858108556,-46.57004875754828,-23.57069,-46.57608,0.8375502820842681,0.9856452505974579,0.17073345147780522
355030801000045,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.576362008037137,-46.572961624204076,-23.57069,-46.57608,0.7042422950791365,0.9856452505974579,0.17073345147780522
355030801000046,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.57599323863279,-46.57500664743143,-23.57069,-46.57608,0.5974780981151672,0.9856452505974579,0.17073345147780522
355030801000047,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.57361678644551,-46.576581599557244,-23.57069,-46.57608,0.32816730158720697,0.9856452505974579,0.17073345147780522
355030801000048,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.573936917795976,-46.578689120059636,-23.57069,-46.57608,0.44750190720469574,0.9856452505974579,0.17073345147780522
355030801000049,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.57288642772188,-46.57993188055267,-23.57069,-46.57608,0.46238312577888324,0.9856452505974579,0.17073345147780522
355030801000050,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.571596205252742,-46.57993478548826,-23.57069,-46.57608,0.4061170061592781,0.9856452505974579,0.17073345147780522
355030801000051,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.569917826608656,-46.57954910166445,-23.57069,-46.57608,0.3643287266632194,0.9856452505974579,0.17073345147780522
355030801000052,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.56825594917825,-46.580762506860445,-23.57069,-46.57608,0.5487979458617435,0.9856452505974579,0.17073345147780522
355030801000053,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.56676380798083,-46.580324944319145,-23.57069,-46.57608,0.6139050405477018,0.9856452505974579,0.17073345147780522
355030801000056,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.560791140662886,-46.57818210666991,-23.55393,-46.5801,0.7847074554202624,0.8811166219293899,0.12867366629832064
355030801000057,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.560922580854477,-46.57528720699845,-23.55393,-46.5801,0.9171719447915322,0.8811166219293899,0.12867366629832064
355030801000060,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.558374072300627,-46.57118557998665,-23.55393,-46.5801,1.0347020877102937,0.8811166219293899,0.12867366629832064
355030801000061,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.560450092634913,-46.56961811105313,-23.55393,-46.5801,1.2910099950902503,0.8811166219293899,0.12867366629832064
355030801000063,SP,SÃO PAULO,UBS VILA FORMOSA I DR ANTONIO DA SILVEIRA E OLIVEIRA,-23.562075868863577,-46.56517165249207,-23.55871,-46.55306,1.2915007799482627,0.7692411119217102,0.10322592923041139
355030801000064,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.561739882834807,-46.56743862469406,-23.57069,-46.57608,1.326964826525102,0.9856452505974579,0.17073345147780522
355030801000065,SP,SÃO PAULO,UBS VILA FORMOSA I DR ANTONIO DA SILVEIRA E OLIVEIRA,-23.564568118305022,-46.56178795493903,-23.55871,-46.55306,1.1022429208325983,0.7692411119217102,0.10322592923041139
355030801000066,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.565808878123896,-46.56016801525426,-23.57426,-46.55868,0.9482260231052354,0.672857363694424,0.05374882973697381
355030801000067,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.567820787557103,-46.560282713163126,-23.57426,-46.55868,0.7316839732418438,0.672857363694424,0.05374882973697381
355030801000068,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.571589794184867,-46.55990331913838,-23.57426,-46.55868,0.3210176395327304,0.672857363694424,0.05374882973697381
355030801000069,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.575864891097215,-46.56099120777102,-23.57426,-46.55868,0.29539592884657784,0.672857363694424,0.05374882973697381
355030801000072,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.57784995449853,-46.56658838651195,-23.57426,-46.55868,0.8999031281287003,0.672857363694424,0.05374882973697381
355030801000073,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.57777043354006,-46.569829429445484,-23.57069,-46.57608,1.0109774269229506,0.9856452505974579,0.17073345147780522
355030801000074,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.577911712801264,-46.57269069352159,-23.57069,-46.57608,0.8714488102148444,0.9856452505974579,0.17073345147780522
355030801000075,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.575857680182597,-46.57694441528254,-23.57069,-46.57608,0.5790942523081476,0.9856452505974579,0.17073345147780522
355030801000077,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.568228358168472,-46.58302996281765,-23.57069,-46.57608,0.7600814221347191,0.9856452505974579,0.17073345147780522
355030801000079,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.562662422756613,-46.58408792752243,-23.55393,-46.5801,1.0493413705714847,0.8811166219293899,0.12867366629832064
355030801000084,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.558189889558545,-46.57644632761986,-23.55393,-46.5801,0.6014475657403382,0.8811166219293899,0.12867366629832064
355030801000085,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.55806016412463,-46.57519815487425,-23.55393,-46.5801,0.6780147895074136,0.8811166219293899,0.12867366629832064
355030801000086,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.567979565669354,-46.55612598494021,-23.57426,-46.55868,0.7428317646827748,0.672857363694424,0.05374882973697381
355030801000088,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.571464594942814,-46.557809078258344,-23.57426,-46.55868,0.3221100524564589,0.672857363694424,0.05374882973697381
355030801000089,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.571154108046475,-46.55573947776438,-23.57426,-46.55868,0.45654662077309854,0.672857363694424,0.05374882973697381
355030801000090,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.573484704023294,-46.557814385952646,-23.57426,-46.55868,0.12321261282628787,0.672857363694424,0.05374882973697381
355030801000091,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.575958644493397,-46.55841554171289,-23.57426,-46.55868,0.19005564916435058,0.672857363694424,0.05374882973697381
355030801000092,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.577820895226424,-46.55857434449373,-23.57426,-46.55868,0.39452421502109136,0.672857363694424,0.05374882973697381
355030801000095,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.579496698322522,-46.564081545701946,-23.57426,-46.55868,0.8002577345031776,0.672857363694424,0.05374882973697381
355030801000096,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.580414658825838,-46.56542532528739,-23.57426,-46.55868,0.9688996720561224,0.672857363694424,0.05374882973697381
355030801000097,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.57975127884784,-46.567076622124006,-23.57426,-46.55868,1.0509813468238038,0.672857363694424,0.05374882973697381
355030801000098,SP,SÃO PAULO,AMA UBS VILA ORATORIO DR TITO PEDRO MASCELLANI,-23.579195287917354,-46.56843410664135,-23.57426,-46.55868,1.135877047690712,0.672857363694424,0.05374882973697381
355030801000099,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.578716081818953,-46.569746240631005,-23.57069,-46.57608,1.0991850654823578,0.9856452505974579,0.17073345147780522
355030801000100,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.566396805494396,-46.586357309063644,-23.57069,-46.57608,1.151904322295629,0.9856452505974579,0.17073345147780522
355030801000103,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.5588899627779,-46.582681679831914,-23.55393,-46.5801,0.6092898292119117,0.8811166219293899,0.12867366629832064
355030801000104,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.556106951724097,-46.58022415519471,-23.55393,-46.5801,0.2414344021124218,0.8811166219293899,0.12867366629832064
355030801000105,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.55618221214968,-46.57577071478771,-23.55393,-46.5801,0.5075379729051822,0.8811166219293899,0.12867366629832064
355030801000106,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.556098461731526,-46.572398112477,-23.55393,-46.5801,0.8222083333423209,0.8811166219293899,0.12867366629832064
355030801000107,SP,SÃO PAULO,UBS VILA BERTIOGA DOMINGOS DELASCIO,-23.564879188043882,-46.58822991363225,-23.57069,-46.57608,1.3973846629152546,0.9856452505974579,0.17073345147780522
355030801000108,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.563076491932588,-46.587351655042085,-23.55393,-46.5801,1.2547072875400131,0.8811166219293899,0.12867366629832064
355030801000109,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.561080148160425,-46.586742910442716,-23.55393,-46.5801,1.042628600887874,0.8811166219293899,0.12867366629832064
355030801000110,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.558748406186602,-46.58500217930617,-23.55393,-46.5801,0.7316285847300041,0.8811166219293899,0.12867366629832064
355030801000111,SP,SÃO PAULO,AMA UBS AGUA RASA,-23.55620302689547,-46.583067887818025,-23.55393,-46.5801,0.39394581711975585,0.8811166219293899,0.12867366629832064
